City,PM2.5,PM10,NOx,CO,NH3,O3,SO2,Benzene,Toluene,Xylene,AQI
Ahmedabad,69.41598725,118.1271029,39.48096774,22.42479349,23.48347602,46.35064516,43.60290323,1.463870968,2.531290323,2.976451613,184.2574284
Ahmedabad,67.45057795,118.1271029,32.30912333,2.248598209,23.48347602,34.49143048,14.53197726,3.280840305,8.70097208,3.070127823,166.4635815
Ahmedabad,67.45057795,118.1271029,32.30912333,2.248598209,23.48347602,34.49143048,14.53197726,0,0,0,166.4635815
Ahmedabad,88.85129032,118.1271029,95.54935484,33.07419355,23.48347602,51.06516129,109.3958065,18.27258065,72.70032258,13.21774194,675.2085026
Ahmedabad,89.45645161,118.1271029,47.80806452,42.16,23.48347602,52.38456227,63.51322581,4.097096774,32.35483871,6.971612903,755.516129
Ahmedabad,54.2116129,113.5674194,20.02451613,15.88903226,23.48347602,26.43709677,51.15451613,2.349677419,30.99193548,1.893225806,277.6404621
Amaravati,78.15064516,137.1277419,26.51677419,0.069354839,21.21290323,68.87419355,14.83935484,0.196129032,5.989032258,0.095483871,172.4516129
Amaravati,93.1683871,153.2664516,47.66064516,0.930645161,15.89290323,25.00225806,19.84129032,0.076774194,0.156451613,0.588085133,218.6129032
Amaravati,47.41645161,73.46451613,9.382903226,0.665483871,17.23516129,42.61258065,17.88709677,0.560967742,1.92516129,0.132580645,88.03225806
Amritsar,74.7975685,144.9928008,75.46461247,1.528993086,15.74605833,22.98069174,6.649219937,6.347958788,8.646379892,5.890674025,171.0551178
Amritsar,41.53806452,89.08483871,45.46064516,0.010322581,8.163225806,6.630967742,9.667599697,6.455806452,1.813225806,4.538709677,96.95043811
Amritsar,51.18096774,86.41612903,19.12645161,0.618387097,11.67225806,30.16216621,9.792258065,2.055806452,2.113548387,1.950967742,104.8064516
Bengaluru,67.45057795,118.1271029,20.40096774,4.619677419,18.9683871,21.81778808,17.24096774,21.23615614,13.21680555,3.070127823,166.4635815
Bengaluru,67.89451613,113.2386162,53.38,0.962580645,20.49882181,24.70967742,11.99612903,2.179354839,1.225483871,3.070127823,134.3225806
Bengaluru,35.07517993,112.3733615,0,2.129032258,24.02206142,40.21032301,5.342580645,2.96728652,3.527284919,3.070127823,114.6129032
Bengaluru,38.33935484,100.3154839,23.41,1.040645161,42.15068659,57.21258065,4.390322581,0.964410401,3.273799246,3.070127823,97.58064516
Bengaluru,54.72451613,102.3054839,40.60870968,0.959032258,20.38419355,56.9483871,5.853225806,0.449354839,1.677419355,3.070127823,116.8064516
Bengaluru,39.31322581,83.49516129,35.88354839,1.096451613,14.28387097,39.27774194,7.580322581,0.736129032,11.48935484,3.070127823,95.32258065
Bhopal,72.61548387,142.4429032,31.14806452,1.066129032,21.03774194,45.48387097,11.57129032,3.280840305,8.70097208,3.070127823,160.516129
Brajrajnagar,67.45057795,118.1271029,30.22821215,2.362882196,23.48347602,33.37912627,13.65249485,3.280840305,8.70097208,3.070127823,166.4635815
Brajrajnagar,111.3683871,176.3974194,42.44,3.078709677,50.23709677,7.730322581,15.99451613,3.964516129,8.70097208,3.070127823,259.9677419
Brajrajnagar,72.87102367,136.6135906,31.76419355,1.043548387,60.66635329,29.79880197,5.479804984,4.895483871,8.70097208,3.070127823,156.9307847
Chandigarh,45.3616129,94.05645161,21.63806452,0.742903226,40.70709677,9.646451613,7.618709677,6.240645161,0.289677419,0.75483871,94.06451613
Chennai,67.45057795,118.1271029,13.23580645,1.323225806,5.176774194,22.73354839,15.31290323,2.350916227,8.249171032,3.070127823,166.4635815
Chennai,55.90967742,118.1271029,17.13516129,1.477696716,146.4954839,28.54202777,3.890322581,5.14957439,8.177047404,3.070127823,143.8387097
Chennai,69.23096774,118.1271029,11.55387097,0.041290323,23.48347602,38.44967742,4.742258065,0.181935484,0.039032258,3.070127823,124.4193548
Chennai,75.99,118.1271029,15.65580645,0.607096774,124.3109677,39.85064516,15.76451613,1.547741935,2.941935484,3.070127823,153.7096774
Chennai,62.08967742,118.1271029,18.69741935,0.933548387,64.36612903,41.06096774,14.78774194,0.156451613,1.598709677,3.070127823,131
Chennai,44.22967742,64.41096774,23.79064516,0.84483871,52.05806452,29.70451613,14.27387097,1.502258065,0.072580645,3.070127823,87.51612903
Coimbatore,38.24645161,50.71612903,37.41645161,0.259677419,15.87340698,40.62548387,7.959677419,0.01,0.000322581,3.070127823,79.33753489
Delhi,175.6906452,276.9712903,51.79419355,10.26935484,98.16032258,25.86870968,5.594193548,5.26516129,10.91354839,3.730322581,342.2903226
Delhi,258.5425806,419.1296774,119.7306452,2.229032258,62.36322581,118.7190323,19.27258065,6.571290323,16.84741935,2.971091442,441.9032258
Delhi,199.4341935,284.9664516,47.6,0.767419355,41.21451613,36.21096774,21.40290323,4.931612903,10.52,3.070127823,354.1935484
Delhi,189.7854839,300.2880645,32.54451613,1.6,53.16870968,57.42,16.00064516,3.567419355,8.81516129,0.570322581,349.7419355
Delhi,204.3470968,320.0448387,87.50032258,1.904516129,49.3216129,33.86,16.77129032,6.263548387,42.00516129,1.017741935,365.7419355
Delhi,157.1125806,238.5229032,69.34387097,1.570322581,44.21935484,26.30451613,11.36645161,4.598064516,30.73709677,0.968064516,308.4516129
Ernakulam,50.81705779,86.73271029,107.5339123,1.425859821,76.1003476,34.49143048,4.619197726,2.35308403,4.167097208,0.743012782,145.7390744
Gurugram,73.37822667,118.1271029,21.34062839,1.572960539,23.48347602,19.4760376,12.64689442,3.280840305,8.70097208,3.070127823,171.9025897
Gurugram,217.8316315,118.1271029,32.30912333,11.95221285,23.48347602,14.75972356,7.831354105,3.305833558,32.19003136,3.070127823,358.4791718
Gurugram,185.1906452,259.4803558,38.88709677,2.01483871,23.48347602,24.30935484,7.966837976,1.929249111,5.340604797,3.070127823,343.4516129
Gurugram,145.926129,254.1798131,55.98354839,1.653225806,23.48347602,33.83870968,13.47612903,0,0,3.070127823,291.4193548
Gurugram,114.3187097,177.2216129,49.41064516,1.823225806,23.48347602,26.04935484,8.092903226,1.998709677,6.001612903,3.070127823,242.2258065
Guwahati,141.7629219,221.6216129,104.1512903,1.548387097,17.88322581,18.69903226,13.03774194,4.233870968,8.70097208,3.070127823,291.6451613
Hyderabad,67.45057795,118.1271029,35.03035714,0.458571429,23.48347602,24.79535714,4.6175,0.882142857,9.116785714,1.291785714,166.4635815
Hyderabad,78.03001864,101.8870968,19.07516129,1.129032258,10.45419355,42.71709677,9.140967742,1.511130382,6.717284919,1.270347321,170.5483871
Hyderabad,73.02677419,129.5122581,11.96612903,0.033548387,19.69,51.86935484,15.04709677,0.037419355,0.608387097,0.259677419,149.4193548
Hyderabad,68.94258065,144.853871,35.01032258,0.959677419,23.57032258,49.05,13.38774194,3.712580645,23.16096774,5.796129032,143.0967742
Hyderabad,67.6183871,133.0993548,31.04709677,0.716774194,18.92935484,32.39516129,10.35741935,3.139032258,21.60645161,3.779677419,133.2903226
Hyderabad,52.32258065,104.0064516,25.24806452,0.553225806,18.25,28.28387097,7.817096774,0.386774194,2.460322581,0.073870968,104.5483871
Jaipur,82.18645161,171.333871,45.38935484,0.227741935,34.31967742,50.90064516,13.19225806,3.389032258,6.639677419,3.070127823,190.2903226
Jaipur,62.39935484,138.5335484,40.36774194,1.105806452,23.15967742,41.65258065,15.78129032,1.533548387,7.366451613,3.070127823,150.2903226
Jaipur,47.08870968,106.6412903,48.65967742,0.950645161,38.49580645,45.01516129,11.96419355,3.511290323,11.21064516,3.070127823,112.4516129
Jorapokhar,67.45057795,168.0234972,32.30912333,0.573367511,9.632496132,25.24050716,49.33425366,3.280840305,8.70097208,3.070127823,151.3627442
Jorapokhar,108.9788588,281.5996774,32.30912333,1.958456505,6.406451613,39.07806452,72.91096774,3.280840305,8.70097208,3.070127823,324.6129032
Jorapokhar,62.06225806,179.8141935,32.30912333,2.248598209,6.534516129,55.53322581,27.26967742,3.280840305,8.70097208,3.070127823,162.9354839
Kochi,60.737,112.815,133.614,1.349,22.275,12.213,8.035,3.280840305,0.01,3.070127823,157.1463581
Kolkata,202.1109677,311.1154839,182.0948387,1.320322581,31.98322581,29.52193548,17.41870968,19.21064516,29.82387097,3.070127823,360.8387097
Kolkata,94.27967742,183.1648387,111.5990323,1.228064516,28.63322581,32.78096774,13.98096774,32.56967742,40.03580645,3.955483871,216.9354839
Lucknow,67.45057795,118.1271029,3.956774194,12.07290323,23.48347602,33.54903226,88.85063416,2.444516129,4.788064516,3.070127823,166.4635815
Lucknow,201.0554839,118.1271029,3.835806452,2.79483871,23.48347602,41.49870968,6.892258065,8.899249111,11.74157254,3.070127823,362.516129
Lucknow,177.9816129,118.1271029,32.30912333,2.053225806,23.48347602,40.22354839,8.877419355,2.424193548,8.927096774,3.070127823,330.5806452
Lucknow,220.853871,118.1271029,44.10548387,1.567741935,49.66,34.99064516,9.119677419,2.579032258,7.918387097,3.070127823,377.9677419
Lucknow,167.8396774,118.1271029,50.45322581,1.100967742,39.38322581,24.90774194,8.914193548,0.25,0.570322581,3.070127823,315.516129
Lucknow,136.2774194,118.1271029,55.62935484,1.746774194,24.88935484,25.26516129,12.49935484,3.114193548,14.81967742,3.070127823,272.6451613
Mumbai,67.45057795,118.1271029,26.82193548,0,23.48347602,34.49143048,14.53197726,0,0,0,166.4635815
Mumbai,67.45057795,118.1271029,26.81387097,0,23.48347602,34.49143048,14.53197726,0,0,0,166.4635815
Mumbai,67.45057795,118.1271029,32.30912333,0,23.48347602,34.49143048,14.53197726,1.587503373,4.210147781,1.485545721,166.4635815
Mumbai,67.45057795,118.1271029,78.35625366,1.485483871,23.48347602,34.49143048,14.53197726,0,0,0,166.4635815
Mumbai,65.84096774,194.3119355,101.3615563,2.632903226,23.48347602,52.36483871,23.84677419,2.172580645,8.70097208,3.070127823,165.516129
Mumbai,72.87064516,151.0480645,68.96258065,1.024193548,19.26419355,38.77258065,8.964516129,4.754516129,8.70097208,3.070127823,168.6451613
Patna,294.9829032,118.1271029,112.8787097,2.814516129,23.48347602,17.42870968,7.460322581,0.506129032,1.440645161,1.186129032,435.8064516
Patna,205.74,118.1271029,89.72258065,2.055483871,23.48347602,10.46709677,5.903548387,0.206129032,0.772903226,0.412258065,346.0944246
Patna,213.7919355,118.1271029,38.25483871,2.447419355,23.48347602,36.86870968,47.54935484,0.61516129,3.194516129,1.708709677,362.1762446
Patna,261.4625806,118.1271029,29.68935484,1.865806452,23.48347602,46.65612903,36.20870968,3.822580645,25.03709677,14.53741935,405.2903226
Patna,125.8787097,170.553871,89.59322581,1.933870968,27.94193548,15.66806452,9.718064516,2.283870968,4.37,3.549032258,262.8387097
Shillong,33.954876,65.18344592,1.034193548,0.318709677,2.523225806,34.76387097,6.962580645,37.67225806,37.61451613,3.070127823,100.1818005
Talcher,67.45057795,118.1271029,32.30912333,2.202650053,20.45560815,30.04769751,14.53197726,3.280840305,8.70097208,3.070127823,166.4635815
Talcher,105.5383871,328.746129,19.27870968,2.78516129,6.62483871,8.778387097,24.86283577,0.443656813,8.70097208,3.070127823,285.4343091
Talcher,157.0064516,278.4441935,17.26258065,1.643548387,2.43483871,17.79645161,15.23516129,0.333548387,8.70097208,3.070127823,292.7073278
Thiruvananthapuram,67.95516129,96.08258065,9.063225806,1.361935484,8.534193548,54.16129032,6.308709677,3.280840305,8.70097208,3.070127823,137.2580645
Thiruvananthapuram,60.03741935,94.58290323,6.660967742,0.468387097,6.225483871,74.23967742,16.39387097,3.280840305,8.70097208,3.070127823,128.1612903
Thiruvananthapuram,35.93903226,64.68032258,20.64483871,0.993870968,12.67548387,44.5116129,8.728387097,3.280840305,8.70097208,3.070127823,78.25806452
Visakhapatnam,68.47225806,112.0148387,32.92354839,1.264193548,13.72903226,71.17870968,7.948709677,5.751612903,8.690322581,5.239032258,139.5483871
Visakhapatnam,95.75908819,187.4774616,49.75314097,1.458896601,17.84001381,58.39013843,13.85535264,4.461694223,7.504610201,2.483883338,216.1888492
Visakhapatnam,113.8261477,212.3793548,47.85806452,1.102258065,13.87032258,79.95290323,19.30129032,4.61516129,7.449032258,2.86,263.1290323
Visakhapatnam,59.5316129,121.7216129,27.05516129,1.101935484,11.97806452,48.81451613,9.43,4.662580645,9.184193548,2.147096774,125.8536639